id,auditId,auditDate,auditSchoolType,auditAuditorName,auditWeatherConditions,auditHasRamps,auditHasDoors,auditHasToilets,auditHasFurniture,schoolId,schoolSn,schoolLgea,schoolName,schoolAddress,rampCompositeScore,rampComplianceLevel,doorCompositeScore,doorComplianceLevel,toiletCompositeScore,toiletComplianceLevel,furnitureCompositeScore,furnitureComplianceLevel,overallScore,overallCompliance,keyBarriers
cmrbwnuvb000zjv041c859dmh,cmrbwnrud000jjv04kqbvq20w,2026-07-08,Mainstream Elementary,Field Researcher,Light Rain,No,Yes,Yes,Yes,cmr3lrv4i0015sr3oz7n44zeh,42,SURULERE,Rabiatu Thampson Pry School,RABIAT THOMPSON STR,0.0,NC,83.67,FC,31.0,NC,53.0,PC,41.92,NC,School grounds gets flooded when rain falls. 
cmrby6b000035ib047dhgzu96,cmrby5urm002pib04rmeiyqlq,2026-07-08,Special Needs School/Unit,Field Researcher,Heavy Rain,Yes,Yes,Yes,Yes,cmr3lrv28000csr3o84wk6hae,13,ETI-OSA,ARMY CHILDREN SCHOOL BONNY CAMP,"BONNY CANTONMENT, V/I",45.0,NC,46.0,NC,24.0,NC,46.0,NC,40.25,NC,No barriers found every audit were honest 
cmrbyr4dx000hla04kg35ipgx,cmrbyr2870001la04mnsuv19w,2026-07-08,Mainstream Elementary,Field Researcher,,No,Yes,Yes,Yes,cmr3lrv4f0013sr3o9erni7se,40,SURULERE,Aiyetoro Pry School,"1, VICTOR OLAIYE STR",0.0,NC,79.0,PC,24.0,NC,46.33,NC,37.33,NC,
cmrc1s8y3000ljp04cy0n8ajl,cmrc1s71f0003jp047i3k2toq,2026-07-08,Mainstream Elementary,Field Researcher,,No,Yes,Yes,Yes,cmr3lrv4j0016sr3o0fjjtiyx,43,SURULERE,Wesley Pry School I,"30, AJAO ROAD",0.0,NC,82.5,FC,22.0,NC,50.67,PC,38.79,NC,"The school is specially for the hearing impaired students. 
No Mobility disability students. "
cmrc65i81000nl404gcg5x9gx,cmrc6571x000bl40494t81v9f,2026-07-08,Mainstream Elementary,Field Researcher,Heavy Rain,No,Yes,Yes,Yes,cmr3lrv26000bsr3ot7avvzpf,12,ETI-OSA,AKINLADE PRIMARY SCHOOL,OKUN-MOPO,0.0,NC,46.0,NC,31.0,NC,46.0,NC,30.75,NC,No barriers found during audit 
cmrcbxbsp0009k104zne1zr96,cmrcbwlzo0001k104gaupdks6,2026-07-08,Mainstream Elementary,Field Researcher,Heavy Rain,No,Yes,Yes,Yes,cmr3lrv25000asr3okezhdnum,11,ETI-OSA,AJIRAN PRIMARY SCHOOL,AJIRAN TOWN,0.0,NC,46.0,NC,31.0,NC,46.0,NC,30.75,NC,No barriers found 
cmrcm5v90000nkv04zufmmdcv,cmrcm5tvf0001kv04h0juihhf,2026-07-08,Mainstream Elementary,Field Researcher,Light Rain,Yes,Yes,Yes,Yes,c70a4xlmh0p2j6kb48k5xl98,44,SURULERE,Atunda-Olu School for the Physically and Mentally Challenged,"4/6, Adamu-Orisa Street, Off Adeniran Ogunsanya, Surulere, Lagos. (Note: While the main campus entrance sits on Adamu-Orisa Street, the school property stretches near Curtis Adeniyi Jones Close)",32.0,NC,66.33,PC,24.0,NC,52.67,PC,43.75,NC,
cmrdg5dip0017l90482tniyup,cmrdg5byw000xl9043ols4hz4,2026-07-09,Special Needs School/Unit,Field Researcher,Cloudy/Overcast,Yes,Yes,Yes,Yes,cmr3lrv3o000isr3ofarkweb0,19,IKORODU,"L.G. PRIMARY SCHOOL, IPAKODO","BEACH ROAD, IPAKODO",32.0,NC,46.0,NC,31.0,NC,46.0,NC,38.75,NC,No barriers found 
cmrdjitgj000bjr0453kha8y0,cmrdjir7d0003jr04zux8d1ya,2026-07-09,Mainstream Elementary,Field Researcher,Partly Cloudy,No,Yes,Yes,Yes,cmr3lrv2g000hsr3ob6tif8lp,18,IKORODU,"AFRICAN BETHEL PRY. SCHOOL, MAYA","OFF ITOKIN ROAD, IKORODU",0.0,NC,46.0,NC,24.0,NC,46.0,NC,29.0,NC,No barriers found during audit 
cmrelcyr5000bl905m6vknizf,cmrelcy3a0001l905whwt3lvs,2026-07-10,Special Needs School/Unit,Field Researcher,Light Rain,No,Yes,Yes,Yes,cmr3lrv2b000esr3o1n7etntv,15,IKEJA,BOLA MEM. PRY SCHL,MOBOLAJI BANK ANTHONY WAY,0.0,NC,76.5,PC,45.0,NC,79.0,PC,50.13,PC,
cmren679f000fkz04jt7f9itv,cmren63990003kz04xt6h7q7w,2026-07-10,Special Needs School/Unit,Field Researcher,Light Rain,Yes,Yes,Yes,Yes,cmr3lrv29000dsr3o8uf2zp3w,14,IKEJA,ESTATE PRY SCHL,OPP. OLUWOLE ESTATE OGBA,86.0,FC,80.0,FC,66.0,PC,79.0,PC,77.75,PC,
