sourceFile,exportedFile,schoolId,schoolSn,schoolLgea,schoolName,interviewId,interviewType,participantPseudonym,interviewDate,responseText,fieldNotes
cmranfcbk0001l5047v78ayma_interview_2026-07-07T12-52-21-762Z_97f8263a7d3d4c9c.webm,28_LAGOS_MAINLAND_MODUPE_COLE_MEM._CHILD_CARE_TREATMENT_HOME_SCHOOL_Pupil_P77-1345.webm,cmr3lrv41000rsr3ojwvlje4t,28,LAGOS MAINLAND,MODUPE COLE MEM. CHILD CARE & TREATMENT HOME SCHOOL,cmranfdil0001ib04wsjm2859,Pupil,P77-1345,2026-07-07,interview_2026-07-07T12-52-21-762Z_97f8263a7d3d4c9c.webm,Recording available
cmrani2920001js04fyeb5n6e_interview_2026-07-07T12-54-28-665Z_55ccf49653ed1b09.webm,34_OJO_F._O._A._NUR_PRY_SCHOOL_I_OKOKOMAIKO_Administrator_A77-1353.webm,cmr3lrv49000xsr3obc6h1qa4,34,OJO,"F. O. A. NUR & PRY SCHOOL I, OKOKOMAIKO",cmrani3i80001ib04l71f2zfd,Administrator,A77-1353,2026-07-07,interview_2026-07-07T12-54-28-665Z_55ccf49653ed1b09.webm,Recording available
cmras1js00001ld04zi8i8l0f_interview_2026-07-07T15-01-36-331Z_bb02495074f7ed6b.webm,27_LAGOS_MAINLAND_IJERO_BAPT.PRIMARY_SCHOOL_Administrator_A77-1543.webm,cmr3lrv3z000qsr3om4kssst1,27,LAGOS MAINLAND,IJERO BAPT.PRIMARY SCHOOL,cmras1lkb0001jl045fbjfjkt,Administrator,A77-1543,2026-07-07,interview_2026-07-07T15-01-36-331Z_bb02495074f7ed6b.webm,Recording available
cmrathhk20001jw04to2phovj_interview_2026-07-07T15-41-59-528Z_3a2cefd1e14b6e7e.webm,25_LAGOS_MAINLAND_ALL_SAINT_ANGLICAN_PRIMARY_SCHOOL_Administrator_A77-1638.webm,cmr3lrv3w000osr3ow3o6s924,25,LAGOS MAINLAND,ALL SAINT ANGLICAN PRIMARY SCHOOL,cmrathzig0001jv041y4f8sqk,Administrator,A77-1638,2026-07-07,interview_2026-07-07T15-41-59-528Z_3a2cefd1e14b6e7e.webm,Recording available
cmrbs65l70001kz04m50ucp8b_interview_2026-07-08T07-52-57-406Z_950d67484970dc93.webm,15_IKEJA_BOLA_MEM._PRY_SCHL_Pupil_P78-0847.webm,cmr3lrv2b000esr3o1n7etntv,15,IKEJA,BOLA MEM. PRY SCHL,cmrbs66sd0005l504za7ylxem,Pupil,P78-0847,2026-07-08,interview_2026-07-08T07-52-57-406Z_950d67484970dc93.webm,Recording available
cmrbs9lsj0003kz04fy1np4qp_interview_2026-07-08T07-55-38-506Z_a3dfd4940f5a6f7c.webm,15_IKEJA_BOLA_MEM._PRY_SCHL_Pupil_P78-0853.webm,cmr3lrv2b000esr3o1n7etntv,15,IKEJA,BOLA MEM. PRY SCHL,cmrbs9ocn0001l3043m0luhpg,Pupil,P78-0853,2026-07-08,interview_2026-07-08T07-55-38-506Z_a3dfd4940f5a6f7c.webm,Recording available
cmrbshvoi0001l1043owj09pm_interview_2026-07-08T08-02-04-379Z_76b9c96407e016ff.webm,15_IKEJA_BOLA_MEM._PRY_SCHL_Teacher_T78-0856.webm,cmr3lrv2b000esr3o1n7etntv,15,IKEJA,BOLA MEM. PRY SCHL,cmrbshzky0009l705faeucuku,Teacher,T78-0856,2026-07-08,interview_2026-07-08T08-02-04-379Z_76b9c96407e016ff.webm,Recording available
cmrbsqck60001l4049swwyioe_interview_2026-07-08T08-08-39-555Z_fdfae3e35c0573fe.webm,15_IKEJA_BOLA_MEM._PRY_SCHL_Teacher_T78-0902.webm,cmr3lrv2b000esr3o1n7etntv,15,IKEJA,BOLA MEM. PRY SCHL,cmrbsqe0b000bjq04n1o62nnl,Teacher,T78-0902,2026-07-08,interview_2026-07-08T08-08-39-555Z_fdfae3e35c0573fe.webm,Recording available
cmrbtnsvm0001jh04ky53geux_interview_2026-07-08T08-34-40-335Z_65d80527fa9a849d.webm,15_IKEJA_BOLA_MEM._PRY_SCHL_Administrator_A78-0925.webm,cmr3lrv2b000esr3o1n7etntv,15,IKEJA,BOLA MEM. PRY SCHL,cmrbtnw6u000rl705i03yqizd,Administrator,A78-0925,2026-07-08,interview_2026-07-08T08-34-40-335Z_65d80527fa9a849d.webm,Recording available
cmrbuibpp0001l204n514vqsh_interview_2026-07-08T08-58-24-433Z_c07c6d5794be7af2.webm,29_MUSHIN_OJUWOYE_COMM._PRIMARY_SCHOOL_Pupil_P78-0935.webm,cmr3lrv42000ssr3osqm7zst1,29,MUSHIN,OJUWOYE COMM. PRIMARY SCHOOL,cmrbuigzk0019l504paylkw42,Pupil,P78-0935,2026-07-08,interview_2026-07-08T08-58-24-433Z_c07c6d5794be7af2.webm,Recording available
cmrbvu11c0001ju04q660e1uq_interview_2026-07-08T09-35-30-092Z_f73f475b233ffe28.webm,14_IKEJA_ESTATE_PRY_SCHL_Pupil_P78-1023.webm,cmr3lrv29000dsr3o8uf2zp3w,14,IKEJA,ESTATE PRY SCHL,cmrbvu2s50001jr0421zrkq3n,Pupil,P78-1023,2026-07-08,interview_2026-07-08T09-35-30-092Z_f73f475b233ffe28.webm,Recording available
cmrbvyelf0001ju04g994j32n_interview_2026-07-08T09-38-54-383Z_a9e11214e332d755.webm,14_IKEJA_ESTATE_PRY_SCHL_Pupil_P78-1035.webm,cmr3lrv29000dsr3o8uf2zp3w,14,IKEJA,ESTATE PRY SCHL,cmrbvyfv60001jq040u7wgn9q,Pupil,P78-1035,2026-07-08,interview_2026-07-08T09-38-54-383Z_a9e11214e332d755.webm,Recording available
cmrbw7zep0001jx04l9h6s7t7_interview_2026-07-08T09-46-21-143Z_385c15ab75307759.webm,14_IKEJA_ESTATE_PRY_SCHL_Teacher_T78-1039.webm,cmr3lrv29000dsr3o8uf2zp3w,14,IKEJA,ESTATE PRY SCHL,cmrbw80qi0001i804r9yyh1ft,Teacher,T78-1039,2026-07-08,interview_2026-07-08T09-46-21-143Z_385c15ab75307759.webm,Recording available
cmrbwybv70001ky051iurftc2_interview_2026-07-08T10-06-50-355Z_941365404a054740.webm,14_IKEJA_ESTATE_PRY_SCHL_Teacher_T78-1102.webm,cmr3lrv29000dsr3o8uf2zp3w,14,IKEJA,ESTATE PRY SCHL,cmrbwyenc0001jo04ny6fa9sl,Teacher,T78-1102,2026-07-08,interview_2026-07-08T10-06-50-355Z_941365404a054740.webm,Recording available
cmrbx3v9j0001ic04vq5kl15y_interview_2026-07-08T10-11-08-710Z_743316d61a7a5504.webm,29_MUSHIN_OJUWOYE_COMM._PRIMARY_SCHOOL_Administrator_A78-1044.webm,cmr3lrv42000ssr3osqm7zst1,29,MUSHIN,OJUWOYE COMM. PRIMARY SCHOOL,cmrbx40hi000hi804dsai2870,Administrator,A78-1044,2026-07-08,interview_2026-07-08T10-11-08-710Z_743316d61a7a5504.webm,Recording available
cmrbxd03s0001jq04w7ueuf86_interview_2026-07-08T10-18-14-951Z_8a7f538f8631b060.webm,13_ETI-OSA_ARMY_CHILDREN_SCHOOL_BONNY_CAMP_Teacher_T78-1111.webm,cmr3lrv28000csr3o84wk6hae,13,ETI-OSA,ARMY CHILDREN SCHOOL BONNY CAMP,cmrbxd4vu000hib042iobqvh2,Teacher,T78-1111,2026-07-08,interview_2026-07-08T10-18-14-951Z_8a7f538f8631b060.webm,Recording available
cmrbxq4i60003if045tjcgrc7_interview_2026-07-08T10-28-27-328Z_73673b64619ee035.webm,14_IKEJA_ESTATE_PRY_SCHL_Administrator_A78-1121.webm,cmr3lrv29000dsr3o8uf2zp3w,14,IKEJA,ESTATE PRY SCHL,cmrbxq71u000hjr04ta5j7sly,Administrator,A78-1121,2026-07-08,interview_2026-07-08T10-28-27-328Z_73673b64619ee035.webm,Recording available
cmrbxqua90005if04nm1vpjj3_interview_2026-07-08T10-29-00-739Z_922f3007b1d50ce7.webm,29_MUSHIN_OJUWOYE_COMM._PRIMARY_SCHOOL_Teacher_T78-1127.webm,cmr3lrv42000ssr3osqm7zst1,29,MUSHIN,OJUWOYE COMM. PRIMARY SCHOOL,cmrbxqwmn0001lc04t45e3ply,Teacher,T78-1127,2026-07-08,interview_2026-07-08T10-29-00-739Z_922f3007b1d50ce7.webm,Recording available
cmrby42hp0007l504dc8s7295_interview_2026-07-08T10-39-17-872Z_2149c9eb9ca28580.webm,13_ETI-OSA_ARMY_CHILDREN_SCHOOL_BONNY_CAMP_Teacher_T78-1128.webm,cmr3lrv28000csr3o84wk6hae,13,ETI-OSA,ARMY CHILDREN SCHOOL BONNY CAMP,cmrby47010019ib041scvjx8z,Teacher,T78-1128,2026-07-08,interview_2026-07-08T10-39-17-872Z_2149c9eb9ca28580.webm,Recording available
